id_unico,titulo,precio,medidas,tecnica,descripcion,serie,disponibilidad,soporte,tags,seccion
20,Destellos del más allá IV,"$5,000",28cm x 19cm x 0.2cm,acuarela,"Esta obra pertenece a la serie Destellos del más allá, un conjunto de acuarelas de formato íntimo donde una figura esquelética aparece como un emblema de luz y fragilidad. Los huesos iluminados y las ornamentaciones que emergen de su estructura expresan una tensión entre lo corpóreo y lo eterno, entre la presencia física y los ecos de algo que se percibe “más allá”. La serie propone una contemplación cercana, donde cada elemento funciona como fragmento de un todo que se despliega solo al mirar con atención.

Acuarela sobre papel Fabriano (no incluye marco).

Disponible como serie completa precio preferencial al adquirir las cuatro obras.",DESTELLOS DEL MÁS ALLÁ,EN VENTA,papel,,galeria
21,Destellos del más allá III,"$5,000",28cm x 19cm x 0.2cm,acuarela,"Esta obra pertenece a la serie Destellos del más allá, un conjunto de acuarelas de formato íntimo donde una figura esquelética aparece como un emblema de luz y fragilidad. Los huesos iluminados y las ornamentaciones que emergen de su estructura expresan una tensión entre lo corpóreo y lo eterno, entre la presencia física y los ecos de algo que se percibe “más allá”. La serie propone una contemplación cercana, donde cada elemento funciona como fragmento de un todo que se despliega solo al mirar con atención.

Acuarela sobre papel Fabriano (no incluye marco).

Disponible como serie completa precio preferencial al adquirir las cuatro obras.",DESTELLOS DEL MÁS ALLÁ,EN VENTA,papel,,galeria
22,Blackcherry I,"$15,000",40 x 60 x 1.5 cm,pintura al oleo,"Blackcherry es una serie pictórica inspirada en ocho aves distintas, reinterpretadas desde una estética oscura y simbólica. La obra toma como punto de partida una fragancia de cereza, trasladando esa referencia sensorial al lenguaje visual mediante una paleta dominada por rojos profundos, rosas velados y tonos sombríos que oscilan entre lo orgánico y lo emocional.

Más allá de la representación del ave, cada pintura funciona como un retrato psicológico: cuerpos suspendidos entre lo bello y lo inquietante, donde la suavidad del color contrasta con una atmósfera densa. Las figuras aparecen contenidas dentro de un espacio ambiguo, evocando estados de fragilidad, aislamiento y transformación.

La serie explora la tensión entre delicadeza y oscuridad, utilizando el simbolismo animal como vehículo para hablar de vulnerabilidad, memoria y presencia. Blackcherry se sitúa, así como un conjunto de piezas íntimas, donde la belleza no se presenta como algo limpio, sino como una condición atravesada por sombra.

Nota: Esta obra pertenece a la serie Blackcherry (8 piezas). La colección completa está disponible para adquisición como conjunto, priorizando la integridad conceptual del proyecto. (No incluyen marco decorativo).",BLACKCHERRY,EN VENTA,Lienzo,,galeria
25,Blackcherry II,"$15,000",40 x 60 x 1.5 cm,pintura al oleo,"Blackcherry es una serie pictórica inspirada en ocho aves distintas, reinterpretadas desde una estética oscura y simbólica. La obra toma como punto de partida una fragancia de cereza, trasladando esa referencia sensorial al lenguaje visual mediante una paleta dominada por rojos profundos, rosas velados y tonos sombríos que oscilan entre lo orgánico y lo emocional.

Más allá de la representación del ave, cada pintura funciona como un retrato psicológico: cuerpos suspendidos entre lo bello y lo inquietante, donde la suavidad del color contrasta con una atmósfera densa. Las figuras aparecen contenidas dentro de un espacio ambiguo, evocando estados de fragilidad, aislamiento y transformación.

La serie explora la tensión entre delicadeza y oscuridad, utilizando el simbolismo animal como vehículo para hablar de vulnerabilidad, memoria y presencia. Blackcherry se sitúa, así como un conjunto de piezas íntimas, donde la belleza no se presenta como algo limpio, sino como una condición atravesada por sombra.

Nota: Esta obra pertenece a la serie Blackcherry (8 piezas). La colección completa está disponible para adquisición como conjunto, priorizando la integridad conceptual del proyecto. (No incluyen marco decorativo).",BLACKCHERRY,EN VENTA,Lienzo,,galeria
26,Blackcherry III,"$15,000",40 x 60 x 1.5 cm,pintura al oleo,"Blackcherry es una serie pictórica inspirada en ocho aves distintas, reinterpretadas desde una estética oscura y simbólica. La obra toma como punto de partida una fragancia de cereza, trasladando esa referencia sensorial al lenguaje visual mediante una paleta dominada por rojos profundos, rosas velados y tonos sombríos que oscilan entre lo orgánico y lo emocional.

Más allá de la representación del ave, cada pintura funciona como un retrato psicológico: cuerpos suspendidos entre lo bello y lo inquietante, donde la suavidad del color contrasta con una atmósfera densa. Las figuras aparecen contenidas dentro de un espacio ambiguo, evocando estados de fragilidad, aislamiento y transformación.

La serie explora la tensión entre delicadeza y oscuridad, utilizando el simbolismo animal como vehículo para hablar de vulnerabilidad, memoria y presencia. Blackcherry se sitúa, así como un conjunto de piezas íntimas, donde la belleza no se presenta como algo limpio, sino como una condición atravesada por sombra.

Nota: Esta obra pertenece a la serie Blackcherry (8 piezas). La colección completa está disponible para adquisición como conjunto, priorizando la integridad conceptual del proyecto. (No incluyen marco decorativo).",BLACKCHERRY,EN VENTA,Lienzo,,galeria
27,Blackcherry IV,"$15,000",40 x 60 x 1.5 cm,pintura al oleo,"Blackcherry es una serie pictórica inspirada en ocho aves distintas, reinterpretadas desde una estética oscura y simbólica. La obra toma como punto de partida una fragancia de cereza, trasladando esa referencia sensorial al lenguaje visual mediante una paleta dominada por rojos profundos, rosas velados y tonos sombríos que oscilan entre lo orgánico y lo emocional.

Más allá de la representación del ave, cada pintura funciona como un retrato psicológico: cuerpos suspendidos entre lo bello y lo inquietante, donde la suavidad del color contrasta con una atmósfera densa. Las figuras aparecen contenidas dentro de un espacio ambiguo, evocando estados de fragilidad, aislamiento y transformación.

La serie explora la tensión entre delicadeza y oscuridad, utilizando el simbolismo animal como vehículo para hablar de vulnerabilidad, memoria y presencia. Blackcherry se sitúa, así como un conjunto de piezas íntimas, donde la belleza no se presenta como algo limpio, sino como una condición atravesada por sombra.

Nota: Esta obra pertenece a la serie Blackcherry (8 piezas). La colección completa está disponible para adquisición como conjunto, priorizando la integridad conceptual del proyecto. (No incluyen marco decorativo).",BLACKCHERRY,EN VENTA,Lienzo,,galeria
28,Blackcherry V,"$15,000",40 x 60 x 1.5 cm,pintura al oleo,"Blackcherry es una serie pictórica inspirada en ocho aves distintas, reinterpretadas desde una estética oscura y simbólica. La obra toma como punto de partida una fragancia de cereza, trasladando esa referencia sensorial al lenguaje visual mediante una paleta dominada por rojos profundos, rosas velados y tonos sombríos que oscilan entre lo orgánico y lo emocional.

Más allá de la representación del ave, cada pintura funciona como un retrato psicológico: cuerpos suspendidos entre lo bello y lo inquietante, donde la suavidad del color contrasta con una atmósfera densa. Las figuras aparecen contenidas dentro de un espacio ambiguo, evocando estados de fragilidad, aislamiento y transformación.

La serie explora la tensión entre delicadeza y oscuridad, utilizando el simbolismo animal como vehículo para hablar de vulnerabilidad, memoria y presencia. Blackcherry se sitúa, así como un conjunto de piezas íntimas, donde la belleza no se presenta como algo limpio, sino como una condición atravesada por sombra.

Nota: Esta obra pertenece a la serie Blackcherry (8 piezas). La colección completa está disponible para adquisición como conjunto, priorizando la integridad conceptual del proyecto. (No incluyen marco decorativo).",BLACKCHERRY,EN VENTA,Lienzo,,galeria
29,Blackcherry VI,"$15,000",40 x 60 x 1.5 cm,pintura al oleo,"Blackcherry es una serie pictórica inspirada en ocho aves distintas, reinterpretadas desde una estética oscura y simbólica. La obra toma como punto de partida una fragancia de cereza, trasladando esa referencia sensorial al lenguaje visual mediante una paleta dominada por rojos profundos, rosas velados y tonos sombríos que oscilan entre lo orgánico y lo emocional.

Más allá de la representación del ave, cada pintura funciona como un retrato psicológico: cuerpos suspendidos entre lo bello y lo inquietante, donde la suavidad del color contrasta con una atmósfera densa. Las figuras aparecen contenidas dentro de un espacio ambiguo, evocando estados de fragilidad, aislamiento y transformación.

La serie explora la tensión entre delicadeza y oscuridad, utilizando el simbolismo animal como vehículo para hablar de vulnerabilidad, memoria y presencia. Blackcherry se sitúa, así como un conjunto de piezas íntimas, donde la belleza no se presenta como algo limpio, sino como una condición atravesada por sombra.

Nota: Esta obra pertenece a la serie Blackcherry (8 piezas). La colección completa está disponible para adquisición como conjunto, priorizando la integridad conceptual del proyecto. (No incluyen marco decorativo).",BLACKCHERRY,EN VENTA,Lienzo,,galeria
30,Blackcherry VII,"$15,000",40 x 60 x 1.5 cm,pintura al oleo,"Blackcherry es una serie pictórica inspirada en ocho aves distintas, reinterpretadas desde una estética oscura y simbólica. La obra toma como punto de partida una fragancia de cereza, trasladando esa referencia sensorial al lenguaje visual mediante una paleta dominada por rojos profundos, rosas velados y tonos sombríos que oscilan entre lo orgánico y lo emocional.

Más allá de la representación del ave, cada pintura funciona como un retrato psicológico: cuerpos suspendidos entre lo bello y lo inquietante, donde la suavidad del color contrasta con una atmósfera densa. Las figuras aparecen contenidas dentro de un espacio ambiguo, evocando estados de fragilidad, aislamiento y transformación.

La serie explora la tensión entre delicadeza y oscuridad, utilizando el simbolismo animal como vehículo para hablar de vulnerabilidad, memoria y presencia. Blackcherry se sitúa, así como un conjunto de piezas íntimas, donde la belleza no se presenta como algo limpio, sino como una condición atravesada por sombra.

Nota: Esta obra pertenece a la serie Blackcherry (8 piezas). La colección completa está disponible para adquisición como conjunto, priorizando la integridad conceptual del proyecto. (No incluyen marco decorativo).",BLACKCHERRY,EN VENTA,Lienzo,,galeria
31,Blackcherry VIII,"$15,000",40 x 60 x 1.5 cm,pintura al oleo,"Blackcherry es una serie pictórica inspirada en ocho aves distintas, reinterpretadas desde una estética oscura y simbólica. La obra toma como punto de partida una fragancia de cereza, trasladando esa referencia sensorial al lenguaje visual mediante una paleta dominada por rojos profundos, rosas velados y tonos sombríos que oscilan entre lo orgánico y lo emocional.

Más allá de la representación del ave, cada pintura funciona como un retrato psicológico: cuerpos suspendidos entre lo bello y lo inquietante, donde la suavidad del color contrasta con una atmósfera densa. Las figuras aparecen contenidas dentro de un espacio ambiguo, evocando estados de fragilidad, aislamiento y transformación.

La serie explora la tensión entre delicadeza y oscuridad, utilizando el simbolismo animal como vehículo para hablar de vulnerabilidad, memoria y presencia. Blackcherry se sitúa, así como un conjunto de piezas íntimas, donde la belleza no se presenta como algo limpio, sino como una condición atravesada por sombra.

Nota: Esta obra pertenece a la serie Blackcherry (8 piezas). La colección completa está disponible para adquisición como conjunto, priorizando la integridad conceptual del proyecto. (No incluyen marco decorativo).",BLACKCHERRY,EN VENTA,Lienzo,,galeria
32,Entre sombras y recuerdos I,"$11,000",55.0 x 105.0 x 0.2cm,acuarela,"Blackcherry es una serie pictórica inspirada en ocho aves distintas, reinterpretadas desde una estética oscura y simbólica. La obra toma como punto de partida una fragancia de cereza, trasladando esa referencia sensorial al lenguaje visual mediante una paleta dominada por rojos profundos, rosas velados y tonos sombríos que oscilan entre lo orgánico y lo emocional.

Más allá de la representación del ave, cada pintura funciona como un retrato psicológico: cuerpos suspendidos entre lo bello y lo inquietante, donde la suavidad del color contrasta con una atmósfera densa. Las figuras aparecen contenidas dentro de un espacio ambiguo, evocando estados de fragilidad, aislamiento y transformación.

La serie explora la tensión entre delicadeza y oscuridad, utilizando el simbolismo animal como vehículo para hablar de vulnerabilidad, memoria y presencia. Blackcherry se sitúa, así como un conjunto de piezas íntimas, donde la belleza no se presenta como algo limpio, sino como una condición atravesada por sombra.

Nota: Esta obra pertenece a la serie Blackcherry (8 piezas). La colección completa está disponible para adquisición como conjunto, priorizando la integridad conceptual del proyecto. (No incluyen marco decorativo).",ENTRE SOMBRAS Y RECUERDOS,EN VENTA,papel,,galeria
35,Entre sombras y recuerdos II,"$11,000",55.0 x 105.0 x 0.2cm,acuarela,"Entre sombras y recuerdos es una serie compuesta por ocho acuarelas en gran formato. A través de un ser híbrido: mitad medusa, mitad esqueleto humano.  La obra explora la fragilidad del cuerpo, la memoria como residuo y la presencia silenciosa del tiempo. Las figuras no narran un acontecimiento específico, sino que habitan un estado: un espacio suspendido entre lo vivo y lo que ya se transforma.

Esta serie funciona como un territorio íntimo dentro de la práctica del artista, donde la acuarela se convierte en un medio más ligero y procesual, sin perder coherencia conceptual con su obra pictórica principal. Cada pieza propone una contemplación pausada, donde lo simbólico opera de forma sutil, dejando que la imagen dialogue con la experiencia interna del espectador.

Acuarela sobre papel Arches 100 % algodón (no incluye marco).

Serie disponible completa. Precio preferencial al adquirir las ocho piezas.",ENTRE SOMBRAS Y RECUERDOS,EN VENTA,papel,,galeria
36,Entre sombras y recuerdos III,"$11,000",55.0 x 105.0 x 0.2cm,acuarela,"Entre sombras y recuerdos es una serie compuesta por ocho acuarelas en gran formato. A través de un ser híbrido: mitad medusa, mitad esqueleto humano.  La obra explora la fragilidad del cuerpo, la memoria como residuo y la presencia silenciosa del tiempo. Las figuras no narran un acontecimiento específico, sino que habitan un estado: un espacio suspendido entre lo vivo y lo que ya se transforma.

Esta serie funciona como un territorio íntimo dentro de la práctica del artista, donde la acuarela se convierte en un medio más ligero y procesual, sin perder coherencia conceptual con su obra pictórica principal. Cada pieza propone una contemplación pausada, donde lo simbólico opera de forma sutil, dejando que la imagen dialogue con la experiencia interna del espectador.

Acuarela sobre papel Arches 100 % algodón (no incluye marco).

Serie disponible completa. Precio preferencial al adquirir las ocho piezas.",ENTRE SOMBRAS Y RECUERDOS,EN VENTA,papel,,galeria
37,Entre sombras y recuerdos IV,"$11,000",55.0 x 105.0 x 0.2cm,acuarela,"Entre sombras y recuerdos es una serie compuesta por ocho acuarelas en gran formato. A través de un ser híbrido: mitad medusa, mitad esqueleto humano.  La obra explora la fragilidad del cuerpo, la memoria como residuo y la presencia silenciosa del tiempo. Las figuras no narran un acontecimiento específico, sino que habitan un estado: un espacio suspendido entre lo vivo y lo que ya se transforma.

Esta serie funciona como un territorio íntimo dentro de la práctica del artista, donde la acuarela se convierte en un medio más ligero y procesual, sin perder coherencia conceptual con su obra pictórica principal. Cada pieza propone una contemplación pausada, donde lo simbólico opera de forma sutil, dejando que la imagen dialogue con la experiencia interna del espectador.

Acuarela sobre papel Arches 100 % algodón (no incluye marco).

Serie disponible completa. Precio preferencial al adquirir las ocho piezas.",ENTRE SOMBRAS Y RECUERDOS,EN VENTA,papel,,galeria
38,Entre sombras y recuerdos V,"$11,000",55.0 x 105.0 x 0.2cm,acuarela,"Entre sombras y recuerdos es una serie compuesta por ocho acuarelas en gran formato. A través de un ser híbrido: mitad medusa, mitad esqueleto humano.  La obra explora la fragilidad del cuerpo, la memoria como residuo y la presencia silenciosa del tiempo. Las figuras no narran un acontecimiento específico, sino que habitan un estado: un espacio suspendido entre lo vivo y lo que ya se transforma.

Esta serie funciona como un territorio íntimo dentro de la práctica del artista, donde la acuarela se convierte en un medio más ligero y procesual, sin perder coherencia conceptual con su obra pictórica principal. Cada pieza propone una contemplación pausada, donde lo simbólico opera de forma sutil, dejando que la imagen dialogue con la experiencia interna del espectador.

Acuarela sobre papel Arches 100 % algodón (no incluye marco).

Serie disponible completa. Precio preferencial al adquirir las ocho piezas.",ENTRE SOMBRAS Y RECUERDOS,EN VENTA,papel,,galeria
41,Entre sombras y recuerdos VI,"$11,000",55.0 x 105.0 x 0.2cm,acuarela,"Entre sombras y recuerdos es una serie compuesta por ocho acuarelas en gran formato. A través de un ser híbrido: mitad medusa, mitad esqueleto humano.  La obra explora la fragilidad del cuerpo, la memoria como residuo y la presencia silenciosa del tiempo. Las figuras no narran un acontecimiento específico, sino que habitan un estado: un espacio suspendido entre lo vivo y lo que ya se transforma.

Esta serie funciona como un territorio íntimo dentro de la práctica del artista, donde la acuarela se convierte en un medio más ligero y procesual, sin perder coherencia conceptual con su obra pictórica principal. Cada pieza propone una contemplación pausada, donde lo simbólico opera de forma sutil, dejando que la imagen dialogue con la experiencia interna del espectador.

Acuarela sobre papel Arches 100 % algodón (no incluye marco).

Serie disponible completa. Precio preferencial al adquirir las ocho piezas.",ENTRE SOMBRAS Y RECUERDOS,EN VENTA,papel,,galeria
42,Entre sombras y recuerdos VII,"$11,000",55.0 x 105.0 x 0.2cm,acuarela,"Entre sombras y recuerdos es una serie compuesta por ocho acuarelas en gran formato. A través de un ser híbrido: mitad medusa, mitad esqueleto humano.  La obra explora la fragilidad del cuerpo, la memoria como residuo y la presencia silenciosa del tiempo. Las figuras no narran un acontecimiento específico, sino que habitan un estado: un espacio suspendido entre lo vivo y lo que ya se transforma.

Esta serie funciona como un territorio íntimo dentro de la práctica del artista, donde la acuarela se convierte en un medio más ligero y procesual, sin perder coherencia conceptual con su obra pictórica principal. Cada pieza propone una contemplación pausada, donde lo simbólico opera de forma sutil, dejando que la imagen dialogue con la experiencia interna del espectador.

Acuarela sobre papel Arches 100 % algodón (no incluye marco).

Serie disponible completa. Precio preferencial al adquirir las ocho piezas.",ENTRE SOMBRAS Y RECUERDOS,EN VENTA,papel,,galeria
43,Entre sombras y recuerdos VIII,"$11,000",55.0 x 105.0 x 0.2cm,acuarela,"Entre sombras y recuerdos es una serie compuesta por ocho acuarelas en gran formato. A través de un ser híbrido: mitad medusa, mitad esqueleto humano.  La obra explora la fragilidad del cuerpo, la memoria como residuo y la presencia silenciosa del tiempo. Las figuras no narran un acontecimiento específico, sino que habitan un estado: un espacio suspendido entre lo vivo y lo que ya se transforma.

Esta serie funciona como un territorio íntimo dentro de la práctica del artista, donde la acuarela se convierte en un medio más ligero y procesual, sin perder coherencia conceptual con su obra pictórica principal. Cada pieza propone una contemplación pausada, donde lo simbólico opera de forma sutil, dejando que la imagen dialogue con la experiencia interna del espectador.

Acuarela sobre papel Arches 100 % algodón (no incluye marco).

Serie disponible completa. Precio preferencial al adquirir las ocho piezas.",ENTRE SOMBRAS Y RECUERDOS,EN VENTA,papel,,galeria
45,Brutalismo,"$40,000",120 X 80CM,pintura al oleo,"“Buscando la libertad constructiva en mis ideas, con amor hacia la arquitectura y al arte, pasé de la representación digital al pincel y pintura al óleo.” Pintura al óleo sobre madera, enmarcada, incluye firma del autor y certificado de autenticidad.",ARQUITECTURA,EN VENTA,papel,,galeria
48,Arquitectura 01,"$35,000",120 X 80CM,pintura al oleo,"“Buscando la libertad constructiva en mis ideas, con amor hacia la arquitectura y al arte, pasé de la representación digital al pincel y pintura al óleo.” Obra 100% original del artista. Pintura al óleo sobre madera, enmarcada, incluye firma del autor y certificado de autenticidad.",ARQUITECTURA,EN VENTA,MDF,,galeria
51,Fobia 03,"$25,000",60 X 80 CM,pintura al oleo,"Esta pieza forma parte de una colección de 10 pinturas al óleo en las que se pretenden representar diferentes fobias. Obra 100% original del artista. Pintura al óleo sobre madera, incluye firma del autor y certificado de autenticidad.",Fobias,VENDIDO,MDF,,galeria
54,Fobia 02,"$15,000",40 x 60 x 1.5 cm,pintura al oleo,"Esta pieza forma parte de una colección de 10 pinturas al óleo en las que se pretenden representar diferentes fobias. Realizada en febrero del 2022, es una obra 100% original del artista. Pintura al óleo sobre madera, enmarcada, incluye firma del autor y certificado de autenticidad.",Fobias,VENDIDO,MDF,,galeria
55,Fobia 01,"$25,000",60x80cm,pintura al oleo,"Esta pieza forma parte de una colección de 10 pinturas al óleo en las que se pretenden representar diferentes fobias. Realizada en febrero del 2022, es una obra 100% original del artista. Pintura al óleo sobre madera, enmarcada, incluye firma del autor y certificado de autenticidad.",Fobias,VENDIDO,MDF,,galeria
56,Perla,"$25,000",60x80cm,pintura al oleo,"Esta pieza forma parte de una colección de 10 pinturas al óleo en las que se pretenden representar diferentes fobias. Realizada en febrero del 2022, es una obra 100% original del artista. Pintura al óleo sobre madera, enmarcada, incluye firma del autor y certificado de autenticidad.",Fobias,VENDIDO,MDF,,galeria
57,Oscuridad,"$25,000",60x80cm,pintura al oleo,Ninguna persona sabe realmente de lo que habla cuando el tema es; la oscuridad del alma y lo que hay después de la muerte. Obra 100% original del artista. Pintura al óleo sobre MDF de 3mm. (Esta obra no incluye marco).,Fobias,EN VENTA,MDF,,galeria
58,Fragilidad,"$20,000",75 x 60 cm,pintura al oleo,"Interpretación de la muerte soplando burbujas, representando lo frágil que es la vida. Óleo sobre MDF de 6mm, (no incluye marco).",Fobias,EN VENTA,MDF,,galeria
59,Presencias extrañas I,"$6,000",20.0 x 30.0 x 0.3cm,pintura al oleo,"Esta pintura pertenece a una serie de mini lienzos titulada ""presencias extrañas"" en la cual el objetivo era superar el bloqueo creativo. Para ello se me ocurrió recordar mi niñez, volver a dibujar y pintar como cuando tenía 10 años, sin pensar en darle una explicación a cada cuadro, sólo fluyendo con el óleo y las formas que acompañaron aquella etapa en mi vida. 

NOTA: Incluye la obra original que se muestra en las fotos, certificado de autenticidad y firma del autor, no incluye marco. Debido al tipo de monitor o pantalla los colores pueden ser ligeramente diferentes.",Presencias extrañas,VENDIDA,Lienzo,,galeria
62,Presencias extrañas II,"$6,000",20.0 x 30.0 x 0.3cm,pintura al oleo,"Esta pintura pertenece a una serie de mini lienzos titulada ""presencias extrañas"" en la cual el objetivo era superar el bloqueo creativo. Para ello se me ocurrió recordar mi niñez, volver a dibujar y pintar como cuando tenía 10 años, sin pensar en darle una explicación a cada cuadro, sólo fluyendo con el óleo y las formas que acompañaron aquella etapa en mi vida. 

NOTA: Incluye la obra original que se muestra en las fotos, certificado de autenticidad y firma del autor, no incluye marco. Debido al tipo de monitor o pantalla los colores pueden ser ligeramente diferentes.",Presencias extrañas,EN VENTA,Lienzo,,galeria
63,Presencias extrañas III,"$6,000",20.0 x 30.0 x 0.3cm,pintura al oleo,"Esta pintura pertenece a una serie de mini lienzos titulada ""presencias extrañas"" en la cual el objetivo era superar el bloqueo creativo. Para ello se me ocurrió recordar mi niñez, volver a dibujar y pintar como cuando tenía 10 años, sin pensar en darle una explicación a cada cuadro, sólo fluyendo con el óleo y las formas que acompañaron aquella etapa en mi vida. 

NOTA: Incluye la obra original que se muestra en las fotos, certificado de autenticidad y firma del autor, no incluye marco. Debido al tipo de monitor o pantalla los colores pueden ser ligeramente diferentes.",Presencias extrañas,EN VENTA,Lienzo,,galeria
